3107,87,61,14
3431,87,66,1
2160,91,64,3
3753,90,63,13
2474,91,66,5
2794,92,65,4
1833,92,64,8
3274,178,57,16
1994,183,64,3
2317,184,65,4
2625,187,60,4
2949,186,64,1
3579,186,64,1
3582,188,64,1
2798,270,61,6
3750,271,63,13
3111,271,64,2
3432,273,65,8
2477,276,64,4
1837,277,67,4
2148,288,54,3
3589,364,68,3
2950,368,62,1
2636,370,62,6
1997,370,67,2
3266,370,66,4
2314,371,67,7
3110,452,63,8
3751,456,68,4
2789,458,65,1
2159,460,64,8
3424,460,67,1
1838,461,68,5
2474,466,59,2
2634,549,61,9
2951,549,68,6
1996,551,67,9
2312,550,60,3
3269,551,65,9
3565,556,44,1
2790,640,67,1
2473,641,66,1
3744,641,64,5
3109,643,67,2
3428,643,65,1
2158,645,66,2
1836,647,64,1
3268,731,64,2
2311,734,65,7
1998,735,63,6
2953,736,65,4
2636,738,68,3
3575,738,67,2
3105,823,61,11
3749,826,66,6
3429,828,63,3
1838,831,66,10
2791,829,67,9
3428,831,63,1
2474,832,63,5
2149,837,60,16
2471,834,63,1
2953,917,64,6
3586,917,68,2
2638,919,67,6
2311,920,66,4
3269,919,68,1
1994,922,62,3
1991,924,62,1
2789,1010,67,10
3428,1010,67,7
3100,1012,63,7
3736,1015,61,18
2473,1012,65,6
2155,1014,70,1
1839,1015,64,3
3588,1101,65,1
2307,1103,62,7
3266,1103,64,13
2629,1103,65,8
1995,1104,66,1
2951,1105,69,3
3746,1190,69,2
3426,1192,65,10
1840,1196,64,6
3104,1196,67,5
2469,1196,64,4
2787,1196,69,10
2156,1198,69,8
3580,1282,63,3
2937,1285,62,7
3268,1287,60,15
2640,1287,69,1
2638,1288,69,1
2000,1291,65,6
2312,1295,62,2
3424,1376,67,6
3741,1379,63,12
2154,1379,64,1
1838,1382,65,12
2790,1381,55,1
2155,1382,64,1
2476,1382,67,1
2473,1383,67,1
3096,1387,58,22
2937,1466,59,2
2635,1469,61,1
3263,1470,63,6
3590,1470,63,4
2626,1474,60,2
1992,1475,67,8
2313,1475,67,1
2467,1561,65,13
3108,1560,67,8
3425,1561,68,7
2790,1563,63,3
1835,1564,67,3
2154,1567,61,6
3745,1570,61,2
2310,1656,57,15
3576,1656,63,11
2637,1656,69,7
2947,1658,65,4
3582,1659,63,1
3584,1660,63,1
1999,1661,65,2
1996,1662,65,3
3257,1666,54,6
3746,1740,62,2
3423,1746,68,5
2793,1747,65,6
2154,1748,61,8
2474,1751,66,3
3105,1750,67,1
1832,1753,65,8
2314,1837,64,2
2948,1837,66,5
1994,1838,63,2
3265,1839,68,2
2639,1840,65,2
3575,1844,59,1
3577,1847,59,3
2787,1930,69,1
2472,1931,67,2
3104,1931,64,3
3420,1933,64,10
1834,1934,65,14
2151,1932,69,2
3743,1933,63,2
2950,2025,69,13
2313,2023,71,1
3264,2029,72,1
2630,2030,69,2
