4623,118,69,10
3983,119,57,5
2713,122,67,1
4308,123,56,8
3350,124,65,3
3665,124,63,1
3033,128,64,2
4142,209,55,8
4462,210,59,3
3829,214,67,1
3187,215,68,1
2867,217,71,1
3517,220,58,6
3513,224,58,2
4622,303,64,8
3985,307,62,3
3032,308,65,3
3666,309,64,9
3351,311,65,13
2713,310,65,1
4303,311,63,8
4144,395,65,5
3511,397,59,12
3819,398,58,4
4463,397,66,4
3191,398,70,1
2872,399,69,6
4306,490,63,21
4622,488,67,9
3670,488,67,8
3029,489,66,2
3352,490,70,2
3979,496,60,12
2707,495,68,2
4448,578,52,1
4125,585,54,8
3193,584,65,5
3508,585,69,6
3827,584,63,1
4450,585,52,1
3190,586,65,1
3187,587,65,1
4452,590,52,9
2858,591,52,10
3990,670,58,1
4608,676,55,20
3346,673,62,2
3983,673,59,3
4302,674,64,7
2711,677,66,1
3028,678,65,1
3663,678,67,2
3188,764,68,2
4142,764,65,4
2867,769,69,6
4456,772,62,11
3503,775,64,4
3822,775,63,2
4302,855,69,5
3982,857,68,2
4616,860,63,15
3350,859,66,5
2712,864,63,11
3035,862,67,1
3664,867,60,2
4142,949,67,6
3824,950,65,13
3506,952,68,4
4458,952,66,2
2871,953,68,3
3184,955,68,1
3978,1042,60,13
3663,1041,69,2
3343,1042,64,1
4620,1042,67,1
3664,1045,69,1
2712,1046,67,4
4308,1048,66,1
3024,1050,66,2
4459,1133,69,4
3824,1134,66,1
4143,1134,69,4
2872,1137,65,7
3188,1135,65,3
3506,1136,70,7
4302,1225,62,6
4615,1224,62,1
3031,1226,68,5
3661,1226,62,8
3343,1228,69,4
2712,1228,66,5
3993,1242,50,4
3989,1244,50,3
2872,1317,67,2
4452,1319,58,1
3510,1322,68,3
3187,1324,70,8
4144,1324,62,16
3814,1329,53,1
3815,1333,53,7
4620,1409,67,12
3667,1411,64,4
3348,1412,70,4
4300,1411,68,1
2709,1413,67,7
3030,1413,68,4
3972,1414,64,7
3506,1502,71,3
2876,1506,64,1
3188,1506,70,1
4452,1506,62,1
3820,1510,58,7
4130,1512,57,2
4295,1593,62,11
3670,1593,68,1
3986,1594,62,8
3027,1596,67,9
3344,1596,65,6
2709,1598,68,8
4604,1604,52,6
4141,1685,62,7
4462,1685,67,5
3499,1687,69,6
3826,1687,69,1
2865,1689,68,15
3189,1691,62,16
3030,1773,64,5
3343,1775,68,5
4625,1776,60,6
4301,1779,67,2
2706,1782,68,11
3665,1781,69,2
3978,1781,67,2
3188,1869,69,3
4462,1870,68,9
3503,1875,67,2
2864,1878,65,3
3811,1881,54,1
4128,1885,55,15
4621,1962,68,6
3974,1965,61,10
4295,1966,60,12
3030,1964,68,3
2700,1969,66,3
3655,1971,64,7
3333,1974,56,10
4301,1971,60,1
4146,2054,63,1
4445,2057,57,2
3502,2058,67,2
